Incident Zip,rat_sightings,ZIPCODE,total_inspections,unique_restaurants,avg_score,median_score,critical_rate
11224,165,11224.0,832.0,79.0,17.868990384615383,13.0,0.5588942307692307
11225,814,11225.0,1712.0,120.0,18.03271028037383,14.0,0.5689252336448598
11226,1182,11226.0,3132.0,184.0,19.70977011494253,15.0,0.5743933588761175
11228,143,11228.0,753.0,53.0,18.779548472775563,14.0,0.5856573705179283
11229,233,11229.0,2045.0,132.0,19.987775061124694,16.0,0.6009779951100245
11230,361,11230.0,1726.0,102.0,19.68250289687138,16.0,0.5741599073001159
11231,373,11231.0,2150.0,160.0,17.322325581395347,13.0,0.5772093023255814
11232,142,11232.0,1670.0,115.0,21.688023952095808,18.0,0.5982035928143713
11233,1566,11233.0,1157.0,82.0,20.074330164217805,16.0,0.5842696629213483
11234,374,11234.0,1984.0,145.0,18.090725806451612,13.0,0.5514112903225806
11235,459,11235.0,2752.0,178.0,19.915334302325583,14.0,0.5694040697674418
11236,502,11236.0,1777.0,111.0,19.655599324704557,16.0,0.5599324704558244
11237,1178,11237.0,3015.0,204.0,20.1363184079602,15.0,0.5917081260364843
11238,1717,11238.0,3288.0,234.0,18.05596107055961,14.0,0.5912408759124088
11239,5,11239.0,178.0,17.0,16.376404494382022,13.0,0.5842696629213483
11249,282,11249.0,2160.0,155.0,18.724074074074075,16.0,0.5828703703703704
11354,137,11354.0,6169.0,405.0,21.759118171502674,18.0,0.6248986869833036
11355,197,11355.0,3591.0,207.0,21.48259537733222,18.0,0.631021999443052
11356,65,11356.0,688.0,48.0,16.712209302325583,13.0,0.5813953488372093
11357,171,11357.0,900.0,71.0,15.964444444444444,13.0,0.5633333333333334
11358,91,11358.0,2050.0,139.0,19.24439024390244,14.0,0.5814634146341463
11360,28,11360.0,329.0,23.0,17.358662613981764,13.0,0.5896656534954408
11361,132,11361.0,1757.0,121.0,17.154809334092203,13.0,0.5737051792828686
11362,35,11362.0,830.0,52.0,19.34578313253012,13.0,0.5831325301204819
11363,18,11363.0,127.0,12.0,13.196850393700787,12.0,0.5905511811023622
11364,43,11364.0,796.0,52.0,17.314070351758794,13.0,0.5992462311557789
11365,71,11365.0,592.0,48.0,17.902027027027028,13.0,0.5709459459459459
11366,30,11366.0,797.0,58.0,17.366373902133,13.0,0.5734002509410289
11367,103,11367.0,808.0,53.0,18.846534653465348,13.0,0.5804455445544554
11368,407,11368.0,4391.0,304.0,18.848326121612388,16.0,0.5727624686859485
11369,123,11369.0,969.0,83.0,15.78328173374613,12.0,0.5490196078431373
11370,137,11370.0,320.0,27.0,13.7875,12.0,0.559375
11372,342,11372.0,6145.0,324.0,20.463954434499595,17.0,0.6100895036615134
11373,425,11373.0,3524.0,218.0,19.492622020431327,16.0,0.5839954597048809
11374,210,11374.0,1349.0,98.0,17.253521126760564,13.0,0.5900667160859896
11375,176,11375.0,2922.0,198.0,16.340862422997947,13.0,0.5581793292265571
11377,607,11377.0,3412.0,207.0,18.82356389214537,16.0,0.5764947245017585
11378,319,11378.0,1161.0,84.0,18.27993109388458,13.0,0.6003445305770887
11379,289,11379.0,601.0,46.0,16.424292845257902,12.0,0.562396006655574
11385,1325,11385.0,3885.0,263.0,17.734105534105534,13.0,0.5716859716859717
11411,88,11411.0,425.0,24.0,19.609411764705882,17.0,0.5505882352941176
11412,416,11412.0,571.0,40.0,15.12784588441331,13.0,0.5656742556917689
11413,213,11413.0,634.0,45.0,17.98422712933754,13.0,0.5583596214511041
11414,139,11414.0,885.0,52.0,17.82824858757062,13.0,0.5909604519774011
11415,52,11415.0,608.0,33.0,18.567434210526315,17.0,0.5756578947368421
11416,174,11416.0,726.0,41.0,20.911845730027547,17.0,0.5867768595041323
11417,234,11417.0,1033.0,68.0,17.734753146176185,15.0,0.6030977734753146
11418,213,11418.0,1364.0,88.0,18.2133431085044,16.0,0.594574780058651
11419,251,11419.0,1598.0,94.0,19.630162703379224,17.0,0.5819774718397998
11420,265,11420.0,1344.0,87.0,17.75,13.5,0.5639880952380952
11421,169,11421.0,1221.0,77.0,19.020475020475022,15.0,0.5896805896805897
11422,92,11422.0,542.0,35.0,17.8450184501845,15.0,0.5682656826568265
11423,135,11423.0,403.0,31.0,17.45409429280397,13.0,0.5583126550868487
11426,77,11426.0,538.0,33.0,16.479553903345725,13.0,0.550185873605948
11427,50,11427.0,298.0,20.0,16.140939597315437,13.0,0.5536912751677853
11428,56,11428.0,781.0,37.0,21.079385403329066,18.0,0.58898847631242
11429,170,11429.0,359.0,22.0,17.610027855153202,13.0,0.5626740947075209
11430,1,11430.0,1804.0,151.0,17.31042128603104,13.0,0.5759423503325942
11432,337,11432.0,2636.0,181.0,18.647192716236724,13.5,0.5895295902883156
11433,447,11433.0,394.0,26.0,17.80710659898477,13.0,0.5710659898477157
11434,368,11434.0,1012.0,83.0,18.545454545454547,13.0,0.5533596837944664
11435,412,11435.0,1722.0,107.0,18.279326364692217,14.0,0.5696864111498258
11436,190,11436.0,271.0,21.0,16.428044280442805,13.0,0.5793357933579336
11691,169,11691.0,812.0,46.0,19.054187192118228,16.0,0.5874384236453202
11692,58,11692.0,117.0,9.0,14.222222222222221,12.0,0.5641025641025641
11693,52,11693.0,427.0,32.0,17.791569086651055,14.0,0.5573770491803278
11694,61,11694.0,663.0,40.0,17.70739064856712,13.0,0.5972850678733032
